DatePulled2,domain,visits2,pageviews2,users2,pageviews_per_session2,avg_session_duration2,exits2
5/17/20,irs.gov,466083752,1203040960,143011244,2.58,115.38,419520854
5/17/20,tools.usps.com,339270244,497587081,101694344,1.47,94.65,344309982
5/17/20,sa.www4.irs.gov,311171472,1674181845,106674440,5.38,158.91,358122043
5/17/20,ncbi.nlm.nih.gov,184534405,473096641,76724285,2.56,235.55,184049815
5/17/20,cdc.gov,154077294,280411182,101550210,1.82,95.02,154159302
5/17/20,reg.usps.com,70737733,103073562,22032698,1.46,54.08,64853069
5/17/20,usps.com,58714928,80354983,26299576,1.37,71.54,49810895
5/17/20,medlineplus.gov,56021104,72119436,41493340,1.29,69.39,55988798
5/17/20,forecast.weather.gov,50755224,73570721,9540213,1.45,97.6,51644882
5/17/20,pubmed.ncbi.nlm.nih.gov,45447099,125573454,20730517,2.76,186.66,46232383
5/17/20,informeddelivery.usps.com,44376030,96522898,11488514,2.18,57.24,49281573
5/17/20,ssa.gov,23725036,58570793,14003412,2.47,174.08,24050581
5/17/20,nasa.gov,18985993,42397908,14256890,2.23,116.43,18946231
5/17/20,weather.gov,18513828,40700600,6339433,2.2,116.53,17552103
5/17/20,m.usps.com,18488977,46841227,5675917,2.53,189.38,18051603
5/17/20,usajobs.gov,16689781,128816481,7768352,7.72,408.13,16108273
5/17/20,fda.gov,14746450,27005338,11222610,1.83,103.65,14587405
5/17/20,nps.gov,13936315,39965017,9661982,2.87,141.13,13928860
5/17/20,uscis.gov,13128665,27107226,5862298,2.06,142.19,12890097
5/17/20,store.usps.com,11366745,54766139,5651066,4.82,119.64,12092387
5/17/20,secure.login.gov,11003923,26056038,4038251,2.37,463.87,10976588
5/17/20,travel.state.gov,10747960,26448681,6498478,2.46,161.64,10218639
5/17/20,va.gov,10034743,23590841,5141625,2.35,138.92,9550153
5/17/20,dol.gov,8981070,26172837,6523329,2.91,102.47,8943794
5/17/20,epa.gov,8431868,16481034,6317067,1.95,122.91,8076502
5/17/20,usa.gov,8394592,13536217,7042710,1.61,86.76,8414473
5/17/20,petitions.whitehouse.gov,8165965,13640591,5410014,1.67,72.95,8165965
5/17/20,egov.uscis.gov,8039226,29418348,2097405,3.66,163.96,8325010
5/17/20,cns.usps.com,7609308,24721552,2584481,3.25,157.64,10780266
5/17/20,studentaid.gov,7330979,13225583,5096894,1.8,198.92,7328494
5/17/20,espanol.cdc.gov,7199270,10653528,5837447,1.48,93.64,7229091
5/17/20,sec.gov,7171934,53831750,3454258,7.51,360.98,7239031
5/17/20,cancer.gov,6446291,8692801,5350372,1.35,64.19,6423926
5/17/20,cms.gov,6391619,17350812,4547692,2.71,125.51,6399075
5/17/20,clinicaltrials.gov,6252455,18652992,4276818,2.98,213.88,6252455
5/17/20,myhealth.va.gov,6133171,35173788,2241540,5.74,259.01,6202754
5/17/20,justice.gov,5974126,9050652,4343916,1.51,73.9,5949276
5/17/20,pubchem.ncbi.nlm.nih.gov,5777805,11394081,3978609,1.97,224.78,5623731
